Código;cod_campo;Campo;Disciplina;cod_disc;Area
6.1.1.;6.1.;Humanidades;6.1 Historia y Arqueología  ;1;Historia
6.1.2.;6.1.;;;2;Arqueología
6.2.1.;6.2.;;6.2 Idiomas y Literatura;1;Estudios Generales del Lenguaje
6.2.2.;6.2.;;;2;Idiomas Específicos
6.2.3.;6.2.;;;3;Estudios Literarios
6.2.4.;6.2.;;;4;Teoría Literaria
6.2.5.;6.2.;;;5;Literatura Específica
6.2.6.;6.2.;;;6;Lingüística
6.3.1.;6.3.;;6.3 Arte ;1;Arte
6.3.2.;6.3.;;;2;Historia del Arte
6.3.3.;6.3.;;;3;Diseño Arquitectónico
6.3.4.;6.3.;;;4;Artes de la Representación (Musicología, Ciencias del Teatro, Dramaturgia)
6.3.5.;6.3.;;;5;Estudios del Folclor
6.3.6.;6.3.;;;6;Estudios de Cine, Radio y Televisión
6.3.7.;6.3.;;;7;Arquitectura y Urbanismo
6.3.8.;6.3.;;;8;Diseño Industrial y otros diseños
6.4.1.;6.4.;;6.4 Otras Historias;1;Historia de la Ciencia y Tecnología
6.4.2.;6.4.;;;2;Otras historias especializadas
6.5.1.;6.5.;;6.5 Otras Humanidades;1;Otras Humanidades
6.5.2.;6.5.;;;2;Filosofía
6.5.3.;6.5.;;;3;Teología
